iter	Passed	Remaining
399	48868	73302
400	48971	73151
401	49041	72952
402	49105	72744
403	49216	72605
404	49330	72473
405	49408	72287
406	49479	72092
407	49542	71885
408	49740	71875
409	49814	71684
410	49882	71486
411	49973	71321
412	50048	71133
413	50147	70981
414	50226	70801
415	50286	70593
416	50345	70386
417	50415	70195
418	50456	69965
419	50519	69765
420	50564	69541
421	50631	69347
422	50749	69225
423	50927	69184
424	51131	69178
425	51336	69172
426	51473	69073
427	51592	68951
428	51824	68978
429	51935	68844
430	52032	68692
431	52292	68755
432	52396	68611
433	52442	68392
434	52496	68185
435	52599	68041
436	52843	68079
437	52904	67882
438	52970	67691
439	53070	67543
440	53151	67374
441	53197	67158
442	53392	67132
443	53446	66928
444	53516	66744
445	53751	66767
446	53831	66596
447	53949	66473
448	54021	66293
449	54215	66263
450	54412	66236
451	54564	66153
452	54625	65960
453	54699	65783
454	54794	65633
455	54870	65459
456	55087	65454
457	55138	65250
458	55170	65026
459	55193	64792
460	55257	64606
461	55403	64517
462	55476	64342
463	55561	64183
464	55638	64013
465	55718	63848
466	55767	63648
467	55836	63471
468	55915	63307
469	56005	63155
470	56067	62971
471	56127	62786
472	56222	62641
473	56281	62455
474	56331	62260
475	56394	62081
476	56468	61913
477	56515	61717
478	56633	61599
479	56814	61549
480	56878	61372
481	57112	61377
482	57227	61255
483	57287	61075
484	57389	60939
485	57469	60780
486	57560	60633
487	57707	60546
488	57769	60368
489	57840	60201
490	57896	60019
491	58006	59893
492	58099	59749
493	58303	59720
494	58538	59720
495	58591	59536
496	58656	59364
497	58708	59180
498	58779	59015
499	58997	58997
500	59202	58965
501	59315	58843
502	59393	58684
503	59443	58500
504	59502	58324
505	59683	58267
506	59793	58141
507	59865	57979
508	59947	57827
509	60076	57720
510	60174	57583
511	60392	57561
512	60629	57556
513	60673	57367
514	60751	57212
515	60865	57090
516	60975	56965
517	61183	56931
518	61309	56820
519	61376	56655
520	61425	56473
521	61520	56335
522	61845	56405
523	61961	56286
524	62193	56270
525	62265	56109
526	62331	55944
527	62397	55779
528	62537	55680
529	62720	55619
530	62814	55480
531	63021	55439
532	63199	55374
533	63269	55212
534	63323	55037
535	63388	54873
536	63441	54699
537	63485	54517
538	63575	54375
539	63634	54206
540	63695	54041
541	63817	53927
542	63984	53850
543	64053	53691
544	64197	53595
545	64261	53433
546	64324	53270
547	64406	53123
548	64474	52965
549	64538	52803
550	64638	52672
551	64703	52512
552	64813	52389
553	64923	52267
554	65085	52185
555	65150	52026
556	65227	51877
557	65369	51779
558	65427	51616
559	65473	51443
560	65577	51316
561	65630	51149
562	65765	51047
563	65907	50949
564	65954	50779
565	66009	50615
566	66072	50457
567	66134	50299
568	66200	50144
569	66253	49980
570	66336	49839
571	66393	49678
572	66506	49560
573	66536	49380
574	66607	49231
575	66666	49073
576	66723	48915
577	67108	48996
578	67188	48853
579	67258	48704
580	67316	48546
581	67385	48396
582	67530	48302
583	67622	48169
584	67712	48035
585	67790	47893
586	67918	47786
587	67968	47624
588	68023	47466
589	68080	47310
590	68276	47250
591	68369	47119
592	68448	46978
593	68507	46825
594	68597	46692
595	68643	46529
596	68789	46436
597	68814	46260
598	68849	46091
599	68919	45946
600	69116	45886
601	69188	45742
602	69331	45646
603	69457	45538
604	69507	45381
605	69558	45224
606	69617	45073
607	69858	45040
608	70097	45005
609	70327	44963
610	70510	44891
611	70587	44751
612	70669	44615
613	70717	44457
614	70766	44301
615	70946	44226
616	71010	44079
617	71197	44008
618	71260	43861
619	71452	43793
620	71520	43649
621	71581	43501
622	71646	43356
623	71691	43198
624	71917	43150
625	71987	43008
626	72064	42870
627	72298	42826
628	72386	42695
629	72489	42573
630	72562	42433
631	72766	42370
632	72858	42241
633	72931	42102
634	73004	41963
635	73082	41827
636	73287	41763
637	73342	41614
638	73401	41468
639	73452	41317
640	73519	41175
641	73593	41038
642	73672	40903
643	73743	40765
644	73790	40613
645	73836	40461
646	73901	40320
647	74004	40199
648	74097	40074
649	74157	39930
650	74355	39861
651	74457	39741
652	74681	39685
653	74754	39549
654	74843	39421
655	75088	39375
656	75292	39307
657	75367	39172
658	75433	39032
659	75522	38905
660	75590	38767
661	75695	38648
662	75844	38551
663	75958	38437
664	76033	38302
665	76093	38160
666	76185	38035
667	76392	37967
668	76508	37853
669	76565	37711
670	76928	37719
671	77069	37617
672	77265	37542
673	77369	37421
674	77563	37345
675	77675	37228
676	77729	37084
677	77789	36944
678	77879	36817
679	78029	36719
680	78094	36581
681	78153	36441
682	78216	36302
683	78282	36165
684	78339	36024
685	78384	35878
686	78441	35738
687	78505	35601
688	78708	35527
689	78783	35395
690	78844	35257
691	79055	35186
692	79132	35055
693	79336	34981
694	79460	34871
695	79553	34747
696	79737	34663
697	79825	34537
698	79901	34406
699	79982	34278
700	80062	34149
701	80155	34026
702	80349	33945
703	80405	33806
704	80459	33667
705	80507	33525
706	80592	33399
707	80654	33264
708	80727	33133
709	80779	32994
710	80823	32852
711	80876	32714
712	80919	32572
713	80973	32434
714	81205	32368
715	81260	32231
716	81317	32096
717	81483	32003
718	81543	31868
719	81666	31759
720	81779	31645
721	81873	31524
722	81964	31402
723	82047	31277
724	82129	31152
725	82205	31025
726	82353	30924
727	82485	30818
728	82673	30733
729	82743	30603
730	82965	30530
731	83074	30415
732	83162	30292
733	83286	30182
734	83377	30061
735	83581	29980
736	83663	29855
737	83720	29721
738	83781	29589
739	83884	29472
740	83932	29336
741	83990	29204
742	84066	29078
743	84178	28964
744	84289	28850
745	84516	28776
746	84620	28659
747	84684	28530
748	84777	28410
749	84862	28287
750	84927	28158
751	84976	28024
752	85129	27924
753	85193	27795
754	85269	27670
755	85322	27537
756	85365	27402
757	85446	27279
758	85507	27150
759	85569	27021
760	85638	26895
761	85692	26764
762	85792	26648
763	85870	26525
764	85934	26398
765	85996	26270
766	86050	26140
767	86108	26011
768	86198	25893
769	86511	25840
770	86579	25715
771	86641	25588
772	86688	25457
773	86815	25349
774	86885	25224
775	86978	25107
776	87053	24984
777	87191	24879
778	87259	24755
779	87314	24627
780	87392	24505
781	87478	24386
782	87565	24267
783	87664	24152
784	87766	24037
785	87855	23919
786	87976	23810
787	88200	23729
788	88292	23611
789	88354	23486
790	88402	23357
791	88613	23272
792	88687	23150
793	88773	23031
794	88999	22949
795	89073	22827
796	89176	22713
797	89234	22588
798	89291	22462
799	89358	22339
800	89407	22212
801	89466	22087
802	89509	21959
803	89619	21847
804	89680	21723
805	89774	21608
806	89832	21484
807	89895	21361
808	89968	21240
809	90053	21123
810	90213	21023
811	90277	20901
812	90357	20783
813	90407	20658
814	90478	20538
815	90556	20419
816	90608	20295
817	90683	20176
818	90765	20059
819	90864	19945
820	90934	19826
821	91060	19718
822	91291	19633
823	91368	19515
824	91612	19433
825	91700	19317
826	91870	19218
827	91977	19106
828	92201	19018
829	92290	18902
830	92405	18792
831	92536	18685
832	92579	18560
833	92653	18441
834	92852	18348
835	92926	18229
836	93010	18113
837	93097	17997
838	93309	17905
839	93389	17788
840	93493	17675
841	93618	17567
842	93666	17444
843	93739	17326
844	93836	17212
845	93963	17104
846	94056	16990
847	94118	16870
848	94177	16750
849	94229	16628
850	94369	16523
851	94515	16418
852	94605	16303
853	94679	16186
854	94816	16080
855	94924	15968
856	95117	15871
857	95340	15778
858	95441	15666
859	95561	15556
860	95645	15441
861	95856	15345
862	95959	15233
863	96021	15114
864	96106	14999
865	96181	14882
866	96263	14767
867	96359	14653
868	96426	14536
869	96629	14438
870	96712	14323
871	96817	14211
872	96910	14098
873	97014	13986
874	97077	13868
875	97171	13754
876	97297	13646
877	97469	13543
878	97593	13434
879	97650	13315
880	97859	13218
881	97944	13103
882	98047	12991
883	98157	12880
884	98272	12769
885	98380	12658
886	98596	12560
887	98761	12456
888	98901	12348
889	99136	12252
890	99230	12139
891	99302	12023
892	99492	11921
893	99568	11805
894	99754	11703
895	99822	11586
896	99880	11468
897	99937	11351
898	100135	11249
899	100207	11134
900	100351	11026
901	100421	10910
902	100617	10808
903	100695	10693
904	100896	10591
905	101096	10489
906	101166	10373
907	101219	10255
908	101354	10146
909	101590	10047
910	101736	9939
911	101794	9822
912	101878	9708
913	102069	9603
914	102133	9487
915	102180	9370
916	102397	9268
917	102467	9152
918	102605	9043
919	102813	8940
920	102886	8825
921	102973	8711
922	103026	8594
923	103101	8480
924	103186	8366
925	103241	8250
926	103326	8136
927	103519	8031
928	103606	7918
929	103680	7803
930	103882	7699
931	103983	7586
932	104039	7471
933	104158	7360
934	104235	7246
935	104422	7139
936	104504	7026
937	104554	6910
938	104757	6805
939	104844	6692
940	104968	6581
941	105057	6468
942	105183	6357
943	105246	6243
944	105446	6137
945	105529	6023
946	105590	5909
947	105661	5795
948	105712	5681
949	105765	5566
950	105979	5460
951	106049	5347
952	106202	5237
953	106263	5123
954	106473	5017
955	106690	4910
956	106784	4798
957	106967	4689
958	107023	4575
959	107100	4462
960	107158	4348
961	107238	4236
962	107292	4122
963	107340	4008
964	107409	3895
965	107515	3784
966	107577	3671
967	107647	3558
968	107850	3450
969	108053	3341
970	108112	3228
971	108177	3116
972	108245	3003
973	108302	2891
974	108366	2778
975	108508	2668
976	108576	2556
977	108759	2446
978	108820	2334
979	108876	2221
980	108957	2110
981	109020	1998
982	109111	1886
983	109161	1774
984	109217	1663
985	109327	1552
986	109569	1443
987	109665	1331
988	109754	1220
989	109988	1110
990	110221	1001
991	110403	890
992	110499	778
993	110641	667
994	110715	556
995	110772	444
996	110946	333
997	111015	222
998	111190	111
999	111282	0
